sku,source,category,sub_category,product_name,price,brand,item_weight,unit_count,date,item_weight_grams
z204c6436fdab96e54501z,noon,grocery,"creal,oats,jams&honey",wild herbs wonder bee honey 950gm,188.0,wonder bee honey,950,1.0,2026-06-25,950.0
z193c56116ddaee8ac6f6z,noon,grocery,"creal,oats,jams&honey",peanut bites 225g,82.0,real,225,1.0,2026-06-25,225.0
z16e8c5535fee9c98c912z,noon,grocery,"creal,oats,jams&honey",dreem chocolate spread with natural hazelnut - 900g,337.0,dreem,900,1.0,2026-06-25,900.0
n52103812a,noon,grocery,"creal,oats,jams&honey",honey with nuts 250g,226.0,isis,250,1.0,2026-06-25,250.0
z30af572d625db3703994z,noon,grocery,"creal,oats,jams&honey",peanut butter -350g,140.0,organic nation,350,1.0,2026-06-25,350.0
zcbb36bcfee2d3a11c2abz,noon,grocery,"creal,oats,jams&honey",clover blossom honey squeeze 450grams,118.0,imtenan,450,1.0,2026-06-25,450.0
z57cb71403ca460df2253z,noon,grocery,"creal,oats,jams&honey",protein fruits rings 250g,76.0,real,250,1.0,2026-06-25,250.0
z87a88cd2bfdab9905d67z,noon,grocery,"creal,oats,jams&honey",clover blossom honey- 225 grams,70.0,royal,225,1.0,2026-06-25,225.0
z106af01a51a49a519394z,noon,grocery,"creal,oats,jams&honey",coconut butter 375g,340.0,healthy & tasty,375,1.0,2026-06-25,375.0
z90fda044bd6f5d1b53c9z,noon,grocery,"creal,oats,jams&honey",strawberry jam 650 grams,54.25,al bawadi,650,1.0,2026-06-25,650.0
zdcedc3097c06fe651678z,noon,grocery,"creal,oats,jams&honey",protein vanilla flakes 250g,76.0,real,250,1.0,2026-06-25,250.0
z840d6cc4bdb7b7743af8z,noon,grocery,"creal,oats,jams&honey",citrus honey 420 grams,108.25,el bawadi,420,1.0,2026-06-25,420.0
z4ad066c7e02648c47170z,noon,grocery,"creal,oats,jams&honey",nawara clover honey hexagonal 250grams,71.75,imtenan,250,1.0,2026-06-25,250.0
zeac6f66419662190be3dz,noon,grocery,"creal,oats,jams&honey",natural citrus honey 500g,195.0,haj arafa,500,1.0,2026-06-25,500.0
zbdcd62cbb00cec17cd3fz,noon,grocery,"creal,oats,jams&honey",sesame halawa with hazelnuts 250gm,69.0,halwani bros,250,1.0,2026-06-25,250.0
n44807102a,noon,grocery,"creal,oats,jams&honey",black cherry jam mini jar - 28.3grams,18.0,hero,28,1.0,2026-06-25,28.3
zb21ce2feb8829ff2a6c6z,noon,grocery,"creal,oats,jams&honey",chewy bar with marshmallow flavor - 144 gram pack of 8,81.0,lino,1,1.0,2026-06-25,1152.0
n35958670a,noon,grocery,"creal,oats,jams&honey",creamy peanut butter 340grams,96.0,dobella,340,1.0,2026-06-25,340.0
n47961266a,noon,grocery,"creal,oats,jams&honey",spread chocolate with mint 475grams,125.0,lavida,475,1.0,2026-06-25,475.0
z1b4f71f11e39a188b54bz,noon,grocery,"creal,oats,jams&honey",sesame halawa with chocolate 530g,95.0,halwani bros,530,1.0,2026-06-25,530.0
z0d5d29476479c54c88f2z,noon,grocery,"creal,oats,jams&honey",spring blossom honey 780 grams,193.25,el bawadi,780,1.0,2026-06-25,780.0
z300054146d1116e474aez,noon,grocery,"creal,oats,jams&honey",fruit preserve fig jam glass jar 340 grams,41.0,halwani bros,380,1.0,2026-06-25,380.0
